Country,Year,Total renewable water resources per capita (m3/inhab/year)
Syrian Arab Republic,2023,757.2894432151281
Syrian Arab Republic,2024,747.7038898631085
Syrian Arab Republic,2025,740.6366782163967
Tajikistan,2022,2198.439125563285
Tajikistan,2023,2149.7795997931134
Tajikistan,2024,2101.1860696198823
Tajikistan,2025,2052.658445535551
Thailand,2022,6118.193989792892
Thailand,2023,6110.851099572675
Thailand,2024,6103.709289436458
Thailand,2025,6096.763052942096
Timor-Leste,2022,6118.0998446014
Timor-Leste,2023,6017.257658654465
Timor-Leste,2024,5916.520044212887
Timor-Leste,2025,5815.886892837926
Togo,2022,1660.443404111748
Togo,2023,1620.4756546131994
Togo,2024,1580.53522616253
Togo,2025,1540.6221000836908
Trinidad and Tobago,2022,2510.062736038679
Trinidad and Tobago,2023,2504.9719875616684
Trinidad and Tobago,2024,2501.202867692889
Trinidad and Tobago,2025,2498.4122633938587
Tunisia,2022,373.50136452020314
Tunisia,2023,370.67781536761436
Tunisia,2024,367.8662760586764
Tunisia,2025,365.06669551004114
Turkmenistan,2022,3849.244890189154
Turkmenistan,2023,3793.587566185957
Turkmenistan,2024,3738.0366897158374
Turkmenistan,2025,3682.592057192341
Uganda,2022,1268.921993279416
Uganda,2023,1227.2565947464243
Uganda,2024,1185.6916362925435
Uganda,2025,1144.226875793377
Ukraine,2022,4063.4922188020414
Ukraine,2023,4099.715451399396
Ukraine,2024,4135.201755085979
Ukraine,2025,4169.966122014079
United Arab Emirates,2022,15.885746542547274
United Arab Emirates,2023,15.755190311597849
United Arab Emirates,2024,15.62516602986614
United Arab Emirates,2025,15.495671529933801
Uruguay,2022,50267.35307116053
Uruguay,2023,50271.12102805801
Uruguay,2024,50272.79719702603
Uruguay,2025,50273.54283782974
Uzbekistan,2022,1410.553780440687
Uzbekistan,2023,1387.2084925896017
Uzbekistan,2024,1363.8820277407553
Uzbekistan,2025,1340.5743707174056
Viet Nam,2022,8996.966242665583
Viet Nam,2023,8923.278889455218
Viet Nam,2024,8849.809140415524
Viet Nam,2025,8776.556352945388
Zambia,2022,5231.638163116591
Zambia,2023,5081.8843650175995
Zambia,2024,4932.513788389462
Zambia,2025,4783.525452564593
Zimbabwe,2022,1225.345152785247
Zimbabwe,2023,1200.2091824649503
Zimbabwe,2024,1175.0982065217906
Zimbabwe,2025,1150.0122001021864
