Country,Year,Total renewable water resources per capita (m3/inhab/year),Water Stress Index (%),Population (%)
Chile,2020,47826.162422738,8.982121089,1.36064363430941
Chile,2021,47352.961937875,8.982121089,0.994344898418259
China,2015,1992.797491767,43.221688261,0.581456146657648
China,2016,1981.253814233,44.11416719,0.573050906069647
China,2017,1969.583240224,43.544499788,0.605245013482969
China,2018,1960.221356697,43.302756314,0.467672053461959
China,2019,1953.650423385,43.975402054,0.354740890170827
China,2020,1949.457387437,41.518528797,0.238040870229883
China,2021,1948.112126585,41.518528797,0.0892522000412526
Colombia,2015,50085.178759945,3.88559941,0.941994067106625
Colombia,2016,49552.812116838,4.189123876,1.068611890834
Colombia,2017,48809.06804648,4.126292522,1.51228960592288
Colombia,2018,47892.56382917,4.063461168,1.89558675057496
Colombia,2019,47023.749344606,4.169438689,1.83074694246543
Colombia,2020,46337.508827197,4.282896247,1.47010203160178
Colombia,2021,45810.510414107,4.39097809,1.14382091580962
Comoros,2015,1643.349365119,0.833333333,2.16006427268952
Comoros,2016,1608.07898884,0.833333333,2.1696163026429
Comoros,2017,1575.497857323,0.833333333,2.04689697470843
Comoros,2018,1545.76826615,0.833333333,1.90502758147562
Comoros,2019,1517.093855011,0.833333333,1.87244791212477
Comoros,2020,1488.527176785,0.833333333,1.90094081397491
Comoros,2021,1460.520310361,0.833333333,1.89944099480128
Costa Rica,2015,23083.639174529,5.450542662,1.04634340433544
Costa Rica,2016,22850.41772788,4.987559727,1.01547072688832
Costa Rica,2017,22627.868482823,4.163822526,0.978713315995535
Costa Rica,2018,22417.37016871,5.211023891,0.934615300864476
Costa Rica,2019,22224.267641545,5.355170648,0.865128346659953
Costa Rica,2020,22056.936174449,5.351672355,0.755771068349343
Costa Rica,2021,21924.901585326,5.881962457,0.600406861056438
Croatia,2015,24795.437639474,1.380262339,-0.824099163913538
Croatia,2016,24977.798170394,1.415320142,-0.69838345731273
Croatia,2017,25164.181375787,1.502830147,-1.20061016480925
Croatia,2018,25357.620565872,1.486674077,-0.893486927711056
Croatia,2019,25546.328205665,1.493997332,-0.554146739042888
Croatia,2020,25751.372572567,1.462872388,-0.433210220837755
Croatia,2021,25984.357662984,1.47843486,-4.25713872008371
Cuba,2015,3361.583450427,23.939446069,0.069407446002465
Cuba,2016,3360.955710504,23.939446069,0.0186756792498581
Cuba,2017,3362.618043374,23.939446069,-0.0494478967755684
Cuba,2018,3365.040512899,23.939446069,-0.0720152370566522
Cuba,2019,3368.474034429,23.939446069,-0.101983052203958
Cuba,2020,3373.242962514,23.939446069,-0.141475202325743
Cuba,2021,3386.526315939,23.939446069,-0.393012541562472
Cyprus,2015,656.963816454,31.71131766,0.870039642466962
Cyprus,2016,651.149822061,29.797703663,0.888918593369278
Cyprus,2017,645.415933333,29.524330235,0.884479029885329
Cyprus,2018,639.957467442,28.294149809,0.849324982193926
Cyprus,2019,634.747028896,27.610716238,0.817517719721429
Cyprus,2020,630.284185442,31.574630946,0.705573414651573
Cyprus,2021,626.914903536,32.121377802,0.535999429698235
Czechia,2015,1249.548879597,24.330900243,0.196588748472653
Czechia,2016,1249.098677941,24.860097324,0.192048415842684
Czechia,2017,1248.658167245,24.787104623,0.265642663548985
Czechia,2018,1248.268442834,24.178832117,0.334427262299794
Czechia,2019,1247.998575668,22.901459854,0.393788864202175
Czechia,2020,1248.699903988,20.772506083,0.243222682211879
Czechia,2021,1251.099945189,20.513990268,-1.81187141002542
Denmark,2015,1056.74807619,21.952406706,0.706423849687002
Denmark,2016,1051.366803128,23.985803137,0.780392644135167
Denmark,2017,1045.791004942,24.22385073,0.643350903737356
Denmark,2018,1040.458939502,29.903109789,0.495838925879129
Denmark,2019,1035.218477684,25.570416441,0.358130915892652
Denmark,2020,1029.929581998,26.40427258,0.291641177476633
Denmark,2021,1024.898193446,26.40427258,0.433414489409722
Djibouti,2015,298.133979423,6.333333333,1.72124773942831
Djibouti,2016,293.180332291,6.333333333,1.67550925836571
Djibouti,2017,288.396926458,6.333333333,1.64501401282776
Djibouti,2018,283.76898178,6.333333333,1.61772854346232
Djibouti,2019,279.331169448,6.333333333,1.57623975223144
Djibouti,2020,275.189972811,6.333333333,1.49363957876332
Djibouti,2021,271.356429384,6.333333333,1.40284750995694
Dominica,2015,2856.857171426,10.0,0.912632430301816
Dominica,2016,2854.084909026,10.0,0.0970860001159586
Dominica,2017,2840.788034601,10.0,0.466977884157329
Dominica,2018,2823.941374977,10.0,0.594793080912983
Dominica,2019,2800.022400179,10.0,0.850614263332306
Dominica,2020,2777.970692409,10.0,0.790672282535559
Dominica,2021,2761.973153621,10.0,0.577535935346367
Dominican Republic,2015,2258.348972,39.553314121,1.1960440040584
Dominican Republic,2016,2232.229364512,39.553314121,1.16332018268349
Dominican Republic,2017,2207.143933209,39.553314121,1.13014592909379
Dominican Republic,2018,2182.892789961,39.553314121,1.10483767973875
Dominican Republic,2019,2159.552915571,39.553314121,1.07497482890671
Dominican Republic,2020,2136.428894555,39.553314121,1.07655224672892
Dominican Republic,2021,2113.71365728,39.553314121,1.06892666709415
Ecuador,2015,27315.551798227,6.782352941,1.47983523757956
Ecuador,2016,26910.654983079,6.782352941,1.49338987255655
Ecuador,2017,26495.866548992,6.782352941,1.55335626648726
Ecuador,2018,25999.560875409,6.782352941,1.89090930713133
Ecuador,2019,25507.762454926,6.782352941,1.90968326333656
Ecuador,2020,25152.662847715,6.782352941,1.40190462603926
Ecuador,2021,24857.092786572,6.782352941,1.18206337539033
El Salvador,2015,4215.97203432,13.212726139,0.346286117647337
El Salvador,2016,4202.857046865,13.212726139,0.311563471293443
El Salvador,2017,4192.029749847,13.212726139,0.257949946994399
El Salvador,2018,4185.5590406,13.212726139,0.154476680476382
El Salvador,2019,4182.976479953,13.212726139,0.0617207329334854
El Salvador,2020,4174.658030035,13.212726139,0.199062369975812
El Salvador,2021,4160.485460711,13.212726139,0.340068122361035
Equatorial Guinea,2015,19302.539843041,0.183503244,3.92078547747936
Equatorial Guinea,2016,18585.673162359,0.183503244,3.78456615093479
Equatorial Guinea,2017,17922.456424304,0.183503244,3.63365484265393
Equatorial Guinea,2018,17309.204302536,0.183503244,3.48160747723884
Equatorial Guinea,2019,16741.455901395,0.183503244,3.33503679402461
Equatorial Guinea,2020,16290.226678504,0.183503244,2.73226949782894
Equatorial Guinea,2021,15907.336096315,0.183503244,2.37849451867221
Eritrea,2015,2190.115826139,11.175115207,0.49767257206961
Eritrea,2016,2173.663048649,11.175115207,0.754064581294597
Eritrea,2017,2153.413093517,11.175115207,0.935971649156141
Eritrea,2018,2123.136704462,11.175115207,1.41594960093608
Eritrea,2019,2090.706061304,11.175115207,1.53927354632927
Eritrea,2020,2057.162976803,11.175115207,1.61739994313834
Eritrea,2021,2020.544085703,11.175115207,1.7961013366299
Estonia,2015,9740.94383554,17.482063204,0.0655525295417938
Estonia,2016,9731.550254346,18.954545454,0.0291122255540077
Estonia,2017,9719.562612093,19.317099567,0.121070631466687
Estonia,2018,9685.753788532,17.408441558,0.348039137980543
Estonia,2019,9650.055499499,10.892316017,0.371554389037477
Estonia,2020,9632.59828921,9.231085498,0.197559185177642
Estonia,2021,9637.984768582,10.819801331,0.105996956310127
Eswatini,2015,3977.296778654,77.559912854,0.7143137221497
Eswatini,2016,3947.400667295,77.559912854,0.754508380699921
Eswatini,2017,3917.004663928,77.559912854,0.773005801268303
Eswatini,2018,3886.497051088,77.559912854,0.781899444165432
Eswatini,2019,3855.976293013,77.559912854,0.788402227821078
Eswatini,2020,3819.913522579,77.559912854,0.939644435809807
Eswatini,2021,3782.697054613,77.559912854,0.9790522575795
Ethiopia,2015,1190.570351022,31.510175146,2.69539316663887
Ethiopia,2016,1158.669007659,32.262996942,2.71605397227228
Ethiopia,2017,1127.562952903,32.257186544,2.72133142564532
Ethiopia,2018,1097.818923551,32.257186544,2.67332102071494
Ethiopia,2019,1069.04455825,32.257186544,2.656010133459
Ethiopia,2020,1041.036365013,32.257186544,2.65485915620519
Ethiopia,2021,1014.274449663,32.257186544,2.60431928274974
Fiji,2015,31127.344090711,0.29737303,0.178965105930181
Fiji,2016,31087.654117998,0.29737303,0.127589742794731
Fiji,2017,31065.734223123,0.29737303,0.0705348376627642
Fiji,2018,31066.511714958,0.29737303,-0.0025026999236921
Fiji,2019,31084.472462206,0.29737303,-0.0577971466911964
Fiji,2020,31018.380699288,0.29737303,0.212846220439299
Fiji,2021,30877.883648241,0.29737303,0.45397664568484
Finland,2015,20074.967227616,6.464785392,0.329383885818507
Finland,2016,20017.400580395,5.454114299,0.287421401687637
Finland,2017,19970.44374326,5.454114299,0.234670531705453
Finland,2018,19943.935783428,6.639791321,0.132641040791912
Finland,2019,19921.989112814,7.114062129,0.110191690491055
Finland,2020,19893.414701016,7.114062129,0.143641197212847
Finland,2021,19869.970910363,7.114062129,0.207288594407348
France,2015,3306.703711778,24.613499081,0.355569240058298
France,2016,3297.425309371,23.142782106,0.263868788565368
France,2017,3289.469273909,23.589249759,0.29020211635109
France,2018,3282.625941445,23.569048683,0.358494581816163
France,2019,3276.409776627,22.94676191,0.341374143157509
France,2020,3272.329816478,21.598137074,0.271350507669993
France,2021,3269.723826419,21.598137074,0.285508618638434
Gabon,2015,81833.181580435,0.502166065,3.08691638355563
Gabon,2016,79570.282129377,0.502166065,2.80421210921345
Gabon,2017,77562.30098378,0.502166065,2.55591859788162
Gabon,2018,75729.512429676,0.502166065,2.39135522463594
Gabon,2019,74015.119594611,0.502166065,2.28985536531904
Gabon,2020,72407.727038572,0.502166065,2.19563704311712
Gabon,2021,70904.446007759,0.502166065,2.09798810279019
Georgia,2015,16793.366023783,5.26875,0.157481405176007
Georgia,2016,16793.46399336,5.173127036,0.0598165991047394
Georgia,2017,16789.946711207,4.477296417,0.0133860746662629
Georgia,2018,16788.0551119,4.205602606,-0.0390365463489613
Georgia,2019,16794.795602325,5.120977199,-0.171565740223868
Georgia,2020,16816.643617801,5.386710098,0.0686562494680967
Georgia,2021,16852.138648955,5.240977199,-0.379636607027231
Germany,2015,1876.373179239,40.890083608,0.865702643950251
Germany,2016,1870.488744012,33.50191886,0.807218538573871
Germany,2017,1863.856783956,38.032351974,0.373724559895838
Germany,2018,1857.733871565,36.898484101,0.300526701992065
Germany,2019,1852.115972142,35.351657072,0.22551987421288
Germany,2020,1848.096367137,35.351657072,0.0816931586494595
Germany,2021,1846.333410839,35.351657072,0.0423270572552137
Ghana,2015,1946.594116665,6.27059721,2.36426975910316
Ghana,2016,1901.584347971,6.314734089,2.33938325896993
Ghana,2017,1859.556376025,6.314734089,2.23494542871956
Ghana,2018,1820.499937141,6.314734089,2.1226797659381
Ghana,2019,1782.865394614,6.314734089,2.08893118401294
Ghana,2020,1746.404589551,6.314734089,2.06626880077022
Ghana,2021,1711.690888362,6.314734089,2.00774487031161
Greece,2015,6329.441312985,20.044507384,-0.658861360878339
Greece,2016,6362.943408316,20.505765729,-0.415913028277122
Greece,2017,6397.169981785,20.501719603,-0.197783224759792
Greece,2018,6432.639589455,20.477442849,-0.202880238259165
Greece,2019,6468.682121395,20.463281408,-0.105339392724138
Greece,2020,6506.705711974,20.477442849,-0.214592106571664
Greece,2021,6548.359008996,20.683795266,-1.21680248998544
Grenada,2015,1680.954782316,7.05,0.850810358697201
Grenada,2016,1667.139022723,7.05,0.825295754248069
Grenada,2017,1653.97242828,7.05,0.792907050535382
Grenada,2018,1641.523990873,7.05,0.755485367413198
Grenada,2019,1629.673087579,7.05,0.724563813014991
Grenada,2020,1617.298626105,7.05,0.762219229220411
Grenada,2021,1605.007623786,7.05,0.762873605069601
Guatemala,2015,7993.821927445,5.742097081,1.69146509302391
Guatemala,2016,7851.572561151,5.742097081,1.65807331834237
Guatemala,2017,7715.310763079,5.742097081,1.62765379973835
Guatemala,2018,7591.018633871,5.742097081,1.60038598150372
Guatemala,2019,7477.345531229,5.742097081,1.56038604781094
Guatemala,2020,7366.93414015,5.742097081,1.51998785357799
Guatemala,2021,7264.112416726,5.742097081,1.4803168061015
Guinea,2015,19439.191370926,1.25704142,2.54927671891363
Guinea,2016,18942.275092962,1.29443787,2.58950004128743
Guinea,2017,18462.862157006,1.331834319,2.56349381271807
Guinea,2018,18000.991488239,1.369230769,2.53344244221774
Guinea,2019,17549.937142493,1.369230769,2.5376470778001
Guinea,2020,17114.530971356,1.369230769,2.51225012110646
Guinea,2021,16701.268838255,1.369230769,2.44431721949133
Guinea-Bissau,2015,17552.49958215,1.495726496,2.58264954343545
Guinea-Bissau,2016,17115.895324853,1.495726496,2.51887831990535
Guinea-Bissau,2017,16703.673637879,1.495726496,2.43789093573311
Guinea-Bissau,2018,16312.069632797,1.495726496,2.37233714760758
Guinea-Bissau,2019,15935.389607589,1.495726496,2.33629046990663
Guinea-Bissau,2020,15576.725792081,1.495726496,2.27645335668636
Guinea-Bissau,2021,15237.385361725,1.495726496,2.20258924567144
Guyana,2015,358925.660006013,3.298401827,0.52000388065714
Guyana,2016,357007.82650737,3.298401827,0.53575873239208
Guyana,2017,355059.665746045,3.298401827,0.547185665228521
Guyana,2018,344997.03378934,3.298401827,2.8750028594538
Guyana,2019,339278.850908854,3.298401827,1.67134809737405
Guyana,2020,339938.936430164,3.298401827,-0.194366443701065
Guyana,2021,336827.138075511,3.298401827,0.919614738982755
Haiti,2015,1327.368662494,13.383791767,1.43989350727897
Haiti,2016,1308.773345602,13.383791767,1.41082121304761
Haiti,2017,1290.739126269,13.383791767,1.38753007437198
Haiti,2018,1273.289497378,13.383791767,1.36113131762731
Haiti,2019,1256.40230249,13.383791767,1.33513859245585
Haiti,2020,1240.138567929,13.383791767,1.30291995864045
Haiti,2021,1224.888882522,13.383791767,1.23729899666313
Honduras,2015,9915.966476967,4.621268764,1.8093624065659
Honduras,2016,9741.672954015,4.621268764,1.77333693683233
Honduras,2017,9573.648346986,4.621268764,1.73985038012617
Honduras,2018,9411.356244607,4.621268764,1.7097289071087
Honduras,2019,9254.501708986,4.621268764,1.68069668453135
Honduras,2020,9105.52835509,4.621268764,1.622836376932
Honduras,2021,8966.813236956,4.621268764,1.5351396675707
Hungary,2015,10564.547046061,6.960276338,-0.237855001984657
Hungary,2016,10595.914215479,6.837651123,-0.295110604845478
Hungary,2017,10624.23402082,8.180518135,-0.265860932255517
Hungary,2018,10637.908309004,8.494752155,-0.126786951652838
